Gene Name,Upregulated,Downregulated,Max
ABRAXAS2,0.5498793125152588,0.5410547256469727,0.5498793125152588
SFI1,0.5498654246330261,0.5449072122573853,0.5498654246330261
AKAP10,0.5498640537261963,0.544623851776123,0.5498640537261963
GCC1,0.5498574376106262,0.5410547256469727,0.5498574376106262
PSD4,0.5463082790374756,0.5498523116111755,0.5498523116111755
FOSL2,0.5498467087745667,0.5475737452507019,0.5498467087745667
CUX1,0.5498255491256714,0.5363200902938843,0.5498255491256714
RAB40C,0.5491155385971069,0.5498109459877014,0.5498109459877014
KCNJ15,0.5498080253601074,0.5410547256469727,0.5498080253601074
ASXL1,0.5438210368156433,0.5498059391975403,0.5498059391975403
MTO1,0.5410547256469727,0.549804151058197,0.549804151058197
PRPSAP1,0.5497950315475464,0.5430400967597961,0.5497950315475464
ATP6V1F,0.5444541573524475,0.5497934818267822,0.5497934818267822
U2AF2,0.546585738658905,0.5497918725013733,0.5497918725013733
PTGES2,0.5472371578216553,0.5497874617576599,0.5497874617576599
PPP1R3D,0.5497860312461853,0.54649817943573,0.5497860312461853
NINJ1,0.5497646331787109,0.5436022877693176,0.5497646331787109
ATP13A1,0.5497570037841797,0.5410547256469727,0.5497570037841797
MGA,0.5497509837150574,0.5355859994888306,0.5497509837150574
TBCC,0.5394105911254883,0.5497479438781738,0.5497479438781738
DOK1,0.5497391223907471,0.5410547256469727,0.5497391223907471
SLC25A38,0.5410547256469727,0.5497270226478577,0.5497270226478577
UTP18,0.5497217774391174,0.5410547256469727,0.5497217774391174
NME1-NME2,0.5410547256469727,0.5497207641601562,0.5497207641601562
CBX6,0.5449094772338867,0.5497190356254578,0.5497190356254578
CHMP3,0.5497073531150818,0.5412639379501343,0.5497073531150818
TM9SF1,0.5410547256469727,0.5497010350227356,0.5497010350227356
SH3BP2,0.5497003197669983,0.5410547256469727,0.5497003197669983
SCAMP3,0.5410547256469727,0.5497002005577087,0.5497002005577087
TEX264,0.5496989488601685,0.5410481691360474,0.5496989488601685
SEC24B,0.5496890544891357,0.5431867837905884,0.5496890544891357
AP1S2,0.5410547256469727,0.5496863722801208,0.5496863722801208
TM9SF4,0.5496833920478821,0.5471555590629578,0.5496833920478821
